Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;11; ;0;0;0;0;0.024390244;0.013333333;0.036144578;0;0;0.011627907;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;7; ;0;0;0.01369863;0;0.027272727;0;0.014492754;0;0.011494253;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;7; ;0.013513514;0;0;0;0;0;0.028169014;0.012820513;0.022727273;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;13; ;0;0.013333333;0.012345679;0;0.012195122;0.011363636;0;0.011494253;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;11; ;0;0.01369863;0;0;0;0;0;0.010204082;0;0.014285714;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;5; ;0;0.026666667;0.013888889;0.026666667;0.011904762;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;6; ;0.013333333;0;0.011904762;0;0;0;0;0;0;0.0125;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;14; ;0.014925373;0;0;0;0.011904762;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;4; ;0;0;0;0.025641026;0.010638298;0.023809524;0.025974026;0;0;0.013333333;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;1; ;0.029850746;0;0;0.02739726;0;0.014705882;0.014492754;0.012987013;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;1; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;9; ;0;0.013333333;0;0;0.029411765;0.014285714;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;10; ;0;0;0;0;0;0;0;0.011627907;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;3; ;0.013157895;0;0;0.011764706;0;0;0.012195122;0;0;0.013888889;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;2; ;0;0.013513514;0.021276596;0.023255814;0;0;0;0.011627907;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;8; ;0.038461538;0.012820513;0.056179775;0.024390244;0.012820513;0;0.013333333;0.021505376;0.012658228;0.011627907;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;6; ;0.014925373;0;0.010752688;0.045977011;0;0;0.021276596;0;0.010204082;0.012195122;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;10; ;0.032967033;0;0.011363636;0;0;0.011494253;0;0.014492754;0.010526316;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;7; ;0;0;0;0;0;0;0.013157895;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;12; ;0;0;0;0.028571429;0;0.022727273;0;0;0.011627907;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;14; ;0.03030303;0.01369863;0;0;0.011627907;0;0.012345679;0;0;0.010526316;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;4; ;0;0.014492754;0.011904762;0.010989011;0.024096386;0;0;0.010869565;0;0.030927835;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;6; ;0;0.012345679;0;0;0;0;0.011904762;0.012048193;0.012345679;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;1; ;0;0.026315789;0.012195122;0.012048193;0.011363636;0;0;0;0;0.010638298;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;10; ;0.0125;0.012048193;0;0;0;0;0;0;0.013157895;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;10; ;0;0;0.015151515;0.014492754;0;0;0.0125;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;13; ;0;0;0;0;0;0;0.012195122;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;3; ;0;0;0;0.009708738;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;5; ;0.042857143;0;0;0.011764706;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;14; ;0;0.010989011;0;0;0;0;0.010309278;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;9; ;0.011764706;0.014705882;0.010526316;0;0.01980198;0;0.014925373;0;0.011764706;0.014925373;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;12; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;9; ;0.014492754;0.012820513;0.012048193;0.031578947;0;0;0.010869565;0.013157895;0;0.025641026;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;6; ;0.011764706;0.010989011;0;0.012195122;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;7; ;0;0;0;0;0;0;0;0;0;0.010989011;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;1; ;0;0.011627907;0;0.012820513;0.014084507;0;0.012048193;0.023809524;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;2; ;0.013888889;0;0.010752688;0.012048193;0;0;0;0.014285714;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;12; ;0;0;0;0.012987013;0;0;0;0;0;0.011494253;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;5; ;0.026666667;0;0;0;0.013513514;0.010869565;0;0.01369863;0.011494253;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;4; ;0;0;0;0;0.024096386;0.020833333;0.029850746;0.011764706;0.012820513;0.030769231;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;11; ;0;0;0.041666667;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;12; ;0;0;0;0.011111111;0;0;0.015384615;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;11; ;0;0;0;0;0;0.012987013;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;6; ;0;0;0;0;0;0.0125;0;0;0.012345679;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;13; ;0.012987013;0;0.014705882;0.011494253;0;0.011363636;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;1; ;0;0.012820513;0;0.011627907;0;0;0;0;0.027027027;0.012820513;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;7; ;0.013157895;0;0;0;0.014285714;0;0.036144578;0;0.014492754;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;8; ;0;0;0;0.013513514;0.026315789;0;0.012987013;0.018518519;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;11; ;0;0.014285714;0;0;0;0;0;0.03030303;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;6; ;0.009345794;0;0;0.011111111;0;0;0.013888889;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;14; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;3; ;0.012658228;0;0.023809524;0.011111111;0;0.012195122;0;0.012195122;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;10; ;0;0;0;0.025316456;0;0;0.012987013;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;8; ;0.025316456;0.01369863;0;0;0.011764706;0;0;0;0.011235955;0.063492063;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;4; ;0;0.011764706;0;0;0;0.013513514;0.010752688;0.011627907;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;1; ;0.042553191;0.060240964;0.063157895;0.078947368;0.068965517;0.116883117;0.068493151;0.071428571;0.086956522;0.114583333;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;8; ;0.01010101;0;0;0;0;0;0.027777778;0;0.012195122;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;2; ;0;0.012195122;0;0.011111111;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;14; ;0;0.012820513;0;0.025316456;0;0;0.012195122;0.011111111;0.011627907;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;5; ;0;0;0;0;0;0;0.012820513;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;7; ;0.142857143;0.170454545;0.176470588;0.180722892;0.168674699;0.1125;0.134146341;0.113924051;0.111111111;0.086956522;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;2; ;0.012048193;0.029411765;0.012048193;0;0.021052632;0.027027027;0.014285714;0.040540541;0.013333333;0.010752688;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;5; ;0;0.011904762;0;0;0;0.011235955;0.011111111;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;10; ;0;0.011363636;0;0;0;0;0.010416667;0;0.014925373;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;6; ;0;0;0.033333333;0;0.014285714;0;0.012195122;0;0.032608696;0.012345679;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;12; ;0.015873016;0;0.026315789;0;0.011627907;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;11; ;0;0;0;0;0.016129032;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;4; ;0;0;0;0;0.015384615;0.011904762;0.011904762;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;8; ;0;0;0.026315789;0.012820513;0;0.011627907;0;0;0;0.010638298;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;9; ;0;0;0;0.034090909;0;0.010869565;0;0;0.014492754;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;2; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;1; ;0;0;0.013157895;0;0;0.012658228;0.023529412;0.021052632;0;0.046153846;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;5; ;0;0;0;0.013157895;0;0;0;0.026666667;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;1; ;0;0;0;0.014084507;0;0;0.018691589;0.024390244;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;14; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;8; ;0;0.013513514;0.012195122;0;0;0;0.010204082;0.012195122;0.011111111;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;1; ;0;0.010752688;0;0;0;0;0;0;0.013513514;0.024691358;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;8; ;0;0;0.032258065;0.025;0;0;0;0.0125;0.014925373;0.012987013;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;11; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;10; ;0;0;0.011764706;0;0;0.012820513;0.010526316;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;11; ;0;0;0;0.013157895;0;0;0;0;0.012987013;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;12; ;0;0;0;0;0;0;0;0;0;0.012658228;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;5; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;6; ;0;0;0;0.0125;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;9; ;0.013333333;0.023529412;0.029850746;0.0125;0;0.0125;0;0;0;0.010869565;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;2; ;0.011904762;0.056179775;0.0625;0.038961039;0;0.059701493;0.025974026;0.0125;0;0.035714286;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;11; ;0;0;0;0;0;0;0;0;0.013333333;0.011363636;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;14; ;0.024390244;0;0;0;0;0.012658228;0;0.010526316;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;7; ;0;0;0;0.010416667;0;0.012820513;0;0.014492754;0.012820513;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;5; ;0;0;0.012820513;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;2; ;0.027027027;0;0.026315789;0;0.010752688;0;0.022988506;0.011363636;0;0.029411765;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;4; ;0;0;0;0;0.01369863;0;0;0;0;0.0375;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;1; ;0;0.010869565;0;0;0;0;0;0;0.021978022;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;8; ;0.01980198;0.038961039;0;0;0;0.014285714;0.012820513;0;0.012345679;0.013157895;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;13; ;0;0;0;0.012345679;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;3; ;0;0;0;0;0.028985507;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;1; ;0.213483146;0.136986301;0.1;0.147368421;0.086956522;0.092105263;0.177777778;0.177777778;0.102564103;0.121621622;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;3; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;12; ;0.013513514;0;0;0;0;0;0.015625;0.01369863;0;0.014285714;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;10; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;2; ;0;0;0;0;0.024390244;0;0.012987013;0.032967033;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;2; ;0.014285714;0;0;0.013333333;0;0;0;0;0.012195122;0.012345679;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;12; ;0;0.013888889;0;0;0;0;0;0;0.012195122;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;7; ;0.012987013;0.013513514;0;0.0125;0;0.012820513;0;0;0.021978022;0.011627907;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;8; ;0.012987013;0.0125;0;0.02020202;0.012987013;0;0;0;0.011627907;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;13; ;0.024691358;0.036144578;0;0;0.025974026;0;0;0;0.027027027;0.010416667;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;9; ;0;0.041666667;0.010989011;0;0;0;0;0;0.011764706;0.030612245;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;11; ;0.011904762;0.011764706;0;0;0;0;0.010526316;0.022222222;0.025974026;0.034482759;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;4; ;0;0;0;0.013333333;0;0;0;0;0;0.013888889;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;12; ;0;0;0.010989011;0;0;0.013513514;0.037037037;0.025316456;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;14; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;5; ;0;0;0;0.0125;0.010416667;0;0.018181818;0.014285714;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;9; ;0.014492754;0;0;0;0;0;0;0.012987013;0.015151515;0.01369863;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;12; ;0;0.019230769;0.027027027;0.013157895;0;0;0.033333333;0.013157895;0.011494253;0.024390244;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;3; ;0;0;0.010989011;0;0;0.010869565;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;3; ;0;0;0;0;0;0.025;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;12; ;0;0;0.012345679;0;0;0;0.011627907;0;0;0.041666667;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;13;8; ;0;0.025316456;0.01369863;0.035294118;0;0.025974026;0.023529412;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;10; ;0;0;0;0;0.011904762;0;0;0;0.015151515;0.011494253;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;9; ;0;0.011111111;0;0;0;0;0.014492754;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;6; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;8; ;0;0;0;0;0;0.01369863;0.011235955;0;0;0.01980198;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;6; ;0.011764706;0.014285714;0;0.022727273;0;0;0.012195122;0.013157895;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;11; ;0;0.026315789;0;0.013333333;0;0;0;0;0;0.022727273;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;1; ;0;0;0.014705882;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;4;13; ;0;0;0;0;0;0;0;0;0.010752688;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;4; ;0.025;0;0.011764706;0;0;0;0.012820513;0.012658228;0.029411765;0.024096386;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;7; ;0.010869565;0;0;0.038961039;0;0;0.010752688;0.011494253;0;0.010416667;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;8; ;0;0;0;0.012820513;0;0;0.014492754;0.00990099;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;14; ;0;0;0;0;0;0.024390244;0;0;0.013888889;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;10; ;0.011363636;0.012658228;0.010869565;0;0;0;0;0;0.0125;0.010869565;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;3; ;0;0;0;0;0.024096386;0;0.014285714;0.016666667;0.012820513;0.021276596;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;3;6; ;0.022988506;0.014084507;0.044117647;0;0;0;0;0.014084507;0.011235955;0.046875;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;10; ;0;0;0;0;0;0;0;0;0;0.012048193;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;9; ;0.012048193;0;0;0;0.012048193;0.012820513;0.013157895;0;0;0.012658228;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;9;13; ;0.011627907;0.013888889;0;0;0;0;0.01;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;10; ;0;0;0;0;0;0;0;0;0.016666667;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;12;8; ;0.012658228;0.010869565;0;0.033333333;0;0.017241379;0;0;0;0.012345679;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;2; ;0;0.016129032;0.022988506;0.015625;0.010638298;0;0.014084507;0.011111111;0.022222222;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;13; ;0.024691358;0.011363636;0.011494253;0;0;0.012820513;0.024096386;0.013513514;0.015873016;0.014705882;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;6; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;10;13; ;0;0;0;0.025316456;0.0125;0;0.012987013;0;0;0.01369863;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;4; ;0;0.038961039;0;0;0.013333333;0.014705882;0;0;0.012345679;0.014492754;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;5; ;0;0.013157895;0.014084507;0.0125;0.011363636;0;0.016129032;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;11; ;0;0;0;0;0;0.01369863;0;0;0;0.013157895;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;14; ;0;0.012345679;0.010638298;0;0;0;0;0;0;0.01;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;7;6; ;0;0;0;0;0;0;0;0;0.011764706;0.012195122;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;4; ;0.109756098;0.098591549;0.0875;0.074626866;0.096385542;0.109589041;0.06097561;0.089108911;0.109589041;0.094117647;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;2;5; ;0.0125;0.025316456;0.04;0.022727273;0.04109589;0.014492754;0;0.054054054;0.029411765;0.032608696;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;5;3; ;0.013513514;0;0;0.025974026;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;3; ;0;0.028846154;0.021978022;0.013513514;0.023529412;0.039473684;0.025641026;0.013513514;0.027027027;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;6;13; ;0;0;0;0;0.012820513;0;0.011494253;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;2; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;1;12; ;0;0.045977011;0.02247191;0;0.013157895;0;0.022988506;0;0.0125;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;14;10; ;0;0;0;0.010204082;0.0125;0;0;0;0.015873016;0;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;8;13; ;0.013888889;0.034090909;0.022222222;0.031746032;0.01369863;0;0;0.012987013;0.0125;0.012195122;;
blocking probabilities per pair and bandwidth;2;160.0Gbps;11;3; ;0;0.010869565;0.014285714;0.0125;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;14; ;0;0;0;0.022988506;0.011363636;0;0.023255814;0;0.010989011;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;12; ;0;0.011764706;0;0;0;0.01369863;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;2;13; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;6;7; ;0;0.010989011;0.012987013;0;0.013157895;0.012048193;0;0;0;0.012987013;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;11;7; ;0;0.011904762;0;0.014492754;0.012048193;0;0.025641026;0.012820513;0.013333333;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;6;14; ;0;0;0;0;0;0;0;0;0.012345679;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;1; ;0.013333333;0;0.011363636;0;0;0.01980198;0;0;0;0.01369863;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;11;2; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;10;14; ;0;0.026315789;0;0;0;0.025;0;0.011235955;0.013333333;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;7;9; ;0;0.012345679;0.011235955;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;4;7; ;0;0;0;0.025974026;0;0;0.012987013;0.031578947;0;0.024390244;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;11; ;0;0.011235955;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;12;9; ;0;0;0.012048193;0.011627907;0;0;0;0;0;0.015873016;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;12;5; ;0;0;0;0;0;0;0;0;0.012658228;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;5;9; ;0.011627907;0.014285714;0;0.011764706;0;0;0.012658228;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;9; ;0;0;0;0.011904762;0;0;0.011904762;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;9;5; ;0;0.012987013;0;0;0;0;0.012195122;0.012820513;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;3; ;0.02173913;0;0;0.021052632;0;0.013157895;0.013888889;0.01;0;0.014285714;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;9;2; ;0;0;0;0.011764706;0;0.012345679;0;0.011627907;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;4;3; ;0.012987013;0;0;0;0.012820513;0.011764706;0.012658228;0;0.012987013;0.014084507;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;11;13; ;0;0;0;0;0;0;0.012987013;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;5;7; ;0.035714286;0.011111111;0;0;0.022988506;0;0.0125;0;0;0.035294118;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;5;11; ;0;0;0;0;0.013157895;0;0;0;0;0.0125;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;7; ;0.015384615;0.012048193;0;0;0.012820513;0;0;0.010869565;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;11;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;12;7; ;0;0;0.022727273;0.011363636;0;0.012658228;0;0;0.010752688;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;3;13; ;0;0;0;0;0;0;0;0.012987013;0;0.024096386;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;14;11; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;7;5; ;0.028169014;0.013333333;0.015873016;0;0;0.015625;0;0.012048193;0.013888889;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;14;6; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;12;4; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;14; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;9;4; ;0;0;0;0.013513514;0;0;0.011494253;0.01;0.014084507;0.010869565;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;13;1; ;0.013157895;0;0;0;0;0.014925373;0;0.014084507;0.025974026;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;2;1; ;0;0;0;0.013513514;0;0;0.012658228;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;10;9; ;0;0.011627907;0;0;0;0;0.016949153;0.011904762;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;7;10; ;0;0;0.011904762;0;0;0;0;0.01369863;0.022222222;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;9;3; ;0;0;0;0;0;0;0.011235955;0.012048193;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;2; ;0;0.026666667;0.012820513;0.012987013;0;0;0.011494253;0.010309278;0.0125;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;2;8; ;0.012658228;0;0;0.022988506;0;0;0.026666667;0.033898305;0;0.012987013;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;2;6; ;0;0;0;0.011235955;0;0;0;0.028846154;0.016393443;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;4;10; ;0.010869565;0.025;0;0;0.011111111;0.038961039;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;8;7; ;0;0;0;0;0;0;0;0;0;0;;
blocking probabilities per pair and bandwidth;2;100.0Gbps;3;12; ;0;0.011904762;0.013333333;0.014285714;0.012345679;0.011235955;0;0.013157895;0.010526316;0;;
